order_id,customer_id,order_date,total_amount,payment_method,shipping_address,status
16,4,2025-05-24T18:19:10.691209,2797.08,Credit Card,"778 Murphy Motorway, West Brianaton, AL 06153",shipped
17,4,2025-05-24T18:19:10.691221,1440.11,Credit Card,"778 Murphy Motorway, West Brianaton, AL 06153",delivered
18,8,2025-05-24T18:19:10.691225,1431.78,Credit Card,"800 Wright Isle Apt. 796, New Ryan, TX 06667",shipped
19,6,2025-05-24T18:19:10.691229,4261.99,UPI,"222 Samantha Squares, Nathanielbury, IN 34384",cancelled
20,10,2025-05-24T18:19:10.691232,4127.76,Credit Card,"5160 Bradley Branch, West Lori, KS 70090",pending
21,6,2025-05-24T18:19:10.691234,1836.21,PayPal,"222 Samantha Squares, Nathanielbury, IN 34384",pending
22,9,2025-05-24T18:19:10.691237,418.4,PayPal,"Unit 9090 Box 6753, DPO AE 27762",shipped
23,10,2025-05-24T18:19:10.691240,5140.04,Credit Card,"5160 Bradley Branch, West Lori, KS 70090",cancelled
24,1,2025-05-24T18:19:10.691243,2797.08,Credit Card,"97194 Jessica Court, South Autumn, DE 04204",shipped
25,8,2025-05-24T18:19:10.691246,933.94,COD,"800 Wright Isle Apt. 796, New Ryan, TX 06667",shipped
26,7,2025-05-24T18:19:10.691249,2712.84,COD,"72731 Vaughan Rue Suite 445, Rogerville, WA 78327",shipped
27,10,2025-05-24T18:19:10.691251,2770.58,COD,"5160 Bradley Branch, West Lori, KS 70090",delivered
28,8,2025-05-24T18:19:10.691254,2188.68,Credit Card,"800 Wright Isle Apt. 796, New Ryan, TX 06667",delivered
29,7,2025-05-24T18:19:10.691257,8721.02,PayPal,"72731 Vaughan Rue Suite 445, Rogerville, WA 78327",shipped
30,3,2025-05-24T18:19:10.691259,2362.58,Credit Card,"USNS Martin, FPO AP 59113",shipped
