customer_id,name,email,phone_number,address,registration_date
11,Philip Harris,wendy43@example.com,416.896.0222x694,"73186 Mathews Road, West Rose, GU 45227",2025-03-24T14:33:54.066743
12,Thomas Miller,alexander41@example.net,897-428-7885x980,"5520 Cathy Forest, Deborahview, WI 42705",2025-03-20T09:04:25.120856
13,Ashley Frost,dianerowland@example.org,585-803-3292x30294,"5038 Walsh Grove, New Susan, DE 94374",2025-01-06T09:36:44.996880
14,Christine Patrick,hannah44@example.org,7313507002,"7326 Dorsey Isle, North Matthewtown, WY 80911",2025-04-03T14:49:07.872230
15,Isabella Ellison,kimberlyramos@example.com,917.643.6337x49366,"3822 Jennifer Mountain, Port Davidshire, AS 54654",2025-02-14T03:13:02.293804
16,Andrea Knox,rowlandjessica@example.net,419.236.0251x8034,"14518 Walker Falls Apt. 328, East Danielle, PA 73575",2025-01-18T13:46:06.346571
17,Alyssa Drake,sanchezwilliam@example.net,4086086316,"985 Richard Plaza, East Mindy, WY 74303",2025-03-24T02:14:53.176031
18,Michael Sandoval,micheal98@example.net,889-992-4293x97025,"777 Joshua Rapids, Port Ryanshire, MO 59290",2025-05-09T04:29:53.970172
19,Brian Gonzalez,blyons@example.com,001-892-532-4713x14617,"07793 David Stravenue, Lake Rebecca, FM 41369",2025-05-12T19:45:11.578338
20,Donna Navarro,terri64@example.com,001-256-907-3921x5888,"50573 Matthew Overpass, Kimberlybury, TN 76552",2025-02-15T05:24:53.455559
