order_id,customer_id,order_date,total_amount,payment_method,shipping_address,status
1,895,2023-02-20 00:00:00,4239.41,PayPal,"96446 David Dam Apt. 135, Brentville, NJ 06855",Delivered
2,893,2023-05-05 00:00:00,2291.26,PayPal,"011 George Drives, Snyderton, VT 11128",Cancelled
3,199,2023-06-03 00:00:00,5382.17,Google Pay,"69654 Thomas Island, West Christopher, ME 04566",Processing
4,938,2023-12-26 00:00:00,5569.47,Bank Transfer,"23544 Renee Club, Jessicabury, NC 79218",Delivered
5,62,2023-09-25 00:00:00,6554.81,PayPal,"5529 Ward Way, Allisonchester, AR 04788",Delivered
6,723,2023-07-09 00:00:00,799.4,Bank Transfer,"9244 Santos Gardens Apt. 008, Jamesmouth, VT 83031",Processing
7,438,2023-06-17 00:00:00,2968.38,Apple Pay,"01096 Eric Summit, Levichester, WV 36903",Delivered
8,395,2023-11-03 00:00:00,37.98,Apple Pay,"35206 Richard Orchard, North Alexanderstad, AL 33740",Processing
9,53,2023-08-28 00:00:00,4575.02,Bank Transfer,"Unit 7843 Box 7646, DPO AE 29440",Shipped
10,896,2023-03-01 00:00:00,3747.7,Debit Card,"9170 Conley Isle, Lake Mariatown, MT 09301",Shipped
11,858,2023-01-25 00:00:00,3063.05,PayPal,"607 Fox Plains Apt. 433, East Joshuaberg, NH 16315",Delivered
12,276,2023-12-13 00:00:00,1817.95,Google Pay,"Unit 9570 Box 2427, DPO AE 04711",Processing
13,36,2023-06-05 00:00:00,3787.11,Bank Transfer,"7251 Jessica Avenue Apt. 098, Danielmouth, WI 49576",Returned
14,663,2023-04-03 00:00:00,8754.82,Apple Pay,"9195 Jonathon Circles, Lake Julianstad, WV 70175",Delivered
15,799,2023-09-14 00:00:00,7346.33,Google Pay,"0213 Whitney Isle Apt. 102, Andersonbury, KY 22124",Cancelled
16,808,2023-03-01 00:00:00,9305.46,PayPal,"7940 Stewart Mountains, North Jacob, WA 26180",Delivered
17,924,2023-03-01 00:00:00,2049.15,Bank Transfer,"85561 Edwards Stream, Port Alisonbury, MS 80466",Shipped
18,224,2023-09-13 00:00:00,3101.66,PayPal,"559 William Lodge, Sotobury, MT 86299",Shipped
19,170,2023-03-29 00:00:00,4036.96,Google Pay,"74521 Sarah Well Suite 339, North Brad, WV 35690",Pending
20,307,2023-05-18 00:00:00,2401.69,Credit Card,"1236 Anderson Ford, South Ericburgh, MH 86146",Delivered
21,453,2023-12-05 00:00:00,1406.91,Bank Transfer,"PSC 9290, Box 5723, APO AE 23282",Delivered
22,611,2023-04-10 00:00:00,2165.78,PayPal,"15626 Nelson Flats Apt. 516, Port Matthewshire, KS 96639",Processing
23,277,2023-10-02 00:00:00,5449.91,Google Pay,"132 Mitchell Via, East Marcusfurt, MO 22933",Returned
24,557,2023-01-12 00:00:00,1862.7,Google Pay,"90784 Wilson Hollow, Bernardbury, NV 51963",Processing
25,271,2023-06-25 00:00:00,5740.63,Debit Card,"0861 Collins Green, Franklinfort, NE 13253",Shipped
26,30,2023-03-25 00:00:00,6701.15,Debit Card,"429 Harris Stravenue Apt. 403, South Thomas, WI 99240",Shipped
27,373,2023-09-18 00:00:00,5684.47,Credit Card,"66792 Hayes Glens, Dustinville, WY 74551",Returned
28,759,2023-12-02 00:00:00,306.79,Google Pay,"18584 Michael Squares, Lopezville, MT 71712",Processing
29,99,2023-12-11 00:00:00,5952.99,Apple Pay,"7281 Samantha Underpass, Cynthiaburgh, MT 83781",Processing
30,38,2023-02-13 00:00:00,3060.39,PayPal,"8203 Brooke Shoals Apt. 779, Port William, VA 91309",Shipped
31,751,2023-09-19 00:00:00,5156.8,PayPal,"5254 Nicole Islands Suite 207, West Timothy, AL 48870",Processing
32,89,2023-05-23 00:00:00,873.45,PayPal,"879 Green Meadow, New Scottfurt, DE 98948",Shipped
33,603,2023-09-26 00:00:00,4207.03,Apple Pay,"178 Michelle Vista, Roberttown, UT 00703",Shipped
34,783,2023-06-19 00:00:00,528.44,Apple Pay,"PSC 7621, Box 3599, APO AA 24459",Delivered
35,274,2023-01-11 00:00:00,2852.02,PayPal,"21148 Christina Spurs, North Amandatown, GU 15487",Processing
36,440,2023-05-22 00:00:00,7140.87,Credit Card,"Unit 4566 Box 4593, DPO AE 61571",Shipped
37,933,2023-03-28 00:00:00,8723.29,Credit Card,"347 Donald Tunnel Apt. 859, South Gregory, RI 53281",Delivered
38,693,2023-10-20 00:00:00,6762.92,Apple Pay,"1479 Gill Branch Suite 165, West Madisonmouth, RI 32535",Shipped
39,53,2023-01-05 00:00:00,435.72,Bank Transfer,"Unit 7843 Box 7646, DPO AE 29440",Returned
40,73,2023-04-09 00:00:00,4128.85,Apple Pay,"9286 Theresa Avenue Apt. 008, New Donaldland, AS 61160",Shipped
41,419,2023-11-10 00:00:00,7057.62,Debit Card,"148 Valencia Road Suite 310, Ashleymouth, SC 49057",Shipped
42,943,2023-02-06 00:00:00,1560.44,Debit Card,"041 Melissa Greens, Lake Brian, WV 25391",Cancelled
43,836,2023-12-05 00:00:00,2531.61,Credit Card,"928 Jacob Curve, Gilmoretown, NE 11794",Processing
44,551,2023-02-20 00:00:00,8732.16,Debit Card,"177 Joshua Pines, Moranview, TN 68212",Cancelled
45,354,2023-03-28 00:00:00,319.55,Google Pay,"659 Matthew Route Suite 887, Shermanview, WA 85917",Processing
46,470,2023-05-25 00:00:00,3510.87,Google Pay,"61419 Tiffany Inlet Suite 315, Duaneview, VI 11189",Delivered
47,932,2023-09-18 00:00:00,7866.33,Bank Transfer,"74020 Angela Wall Suite 199, Schultzton, FL 19238",Shipped
48,704,2023-10-27 00:00:00,68.66,PayPal,"494 James Flats Suite 245, West Shaunmouth, NY 19614",Pending
49,614,2023-01-23 00:00:00,3162.4,PayPal,"320 Ann Stream Apt. 816, Jasmineview, MP 32550",Shipped
50,737,2023-11-14 00:00:00,5034.47,Google Pay,"839 April Junction Suite 580, Walkerport, MI 88703",Processing
51,104,2023-12-31 00:00:00,2426.66,Google Pay,"5764 Schultz Flats, Laneville, LA 56581",Shipped
52,760,2023-11-22 00:00:00,5202.63,Debit Card,"30542 Hudson Stream Suite 541, East Maryborough, IA 66810",Delivered
53,646,2023-10-09 00:00:00,697.54,PayPal,"USNV Thomas, FPO AA 51227",Shipped
54,236,2023-04-24 00:00:00,9307.79,Debit Card,"PSC 5885, Box 8724, APO AE 04761",Delivered
55,6,2023-08-28 00:00:00,329.14,Credit Card,"911 Susan Port Apt. 113, Youngborough, HI 92023",Shipped
56,413,2023-06-15 00:00:00,7725.92,Credit Card,"3576 Lauren Squares, New Chad, NV 36530",Pending
57,837,2023-01-20 00:00:00,4167.54,PayPal,"707 Shelton Stream Apt. 868, Rebeccastad, CA 20821",Pending
58,876,2023-08-25 00:00:00,2788.11,Apple Pay,"78409 George Loaf Suite 296, South Robinhaven, OR 92535",Returned
59,338,2023-03-10 00:00:00,615.55,PayPal,"18608 Waters Forges Suite 277, East Jennifermouth, PR 46234",Shipped
60,359,2023-02-05 00:00:00,5747.31,Bank Transfer,"31673 Smith Place Apt. 127, North Dillonville, ND 47596",Shipped
61,524,2023-05-20 00:00:00,7133.28,Debit Card,"45052 Flores Station, Davisfort, MS 60831",Processing
62,709,2023-06-26 00:00:00,2077.22,Google Pay,"868 Charles Prairie Apt. 641, Port Sarahbury, FM 66801",Returned
63,660,2023-05-09 00:00:00,828.28,Google Pay,"8802 Wood Track Apt. 988, Port Tamaraton, AK 85579",Delivered
64,422,2023-05-12 00:00:00,5491.96,Apple Pay,"USNS Barber, FPO AE 61664",Shipped
65,341,2023-05-29 00:00:00,2306.12,Bank Transfer,"064 Davila Fork, West Anthonyview, CT 70015",Delivered
66,549,2023-12-30 00:00:00,8086.29,Debit Card,"USS Perkins, FPO AE 39759",Shipped
67,821,2023-01-12 00:00:00,408.99,Credit Card,"46848 Shawn Courts Apt. 652, Lake Christine, RI 56860",Processing
68,25,2023-10-15 00:00:00,4543.4,Credit Card,"21533 Priscilla Hills Suite 230, Rogersstad, AK 92477",Delivered
69,744,2023-02-21 00:00:00,6507.66,PayPal,"8417 Winters Plains Apt. 855, Lake Michaelview, ME 76255",Delivered
70,631,2023-02-16 00:00:00,2639.85,Credit Card,"15067 Atkinson Springs, Haysshire, CT 72845",Delivered
71,929,2023-12-08 00:00:00,3984.71,Apple Pay,"014 Nicholas Valleys Apt. 787, Herreraville, IN 20311",Returned
72,532,2023-02-23 00:00:00,7403.76,PayPal,"862 Jones Rapids Apt. 764, New Laura, ME 60916",Shipped
73,294,2023-11-11 00:00:00,6395.11,Credit Card,"2567 Clements Drive, Port Heatherport, NM 87242",Shipped
74,948,2023-10-01 00:00:00,4391.68,Google Pay,"08632 Edward Route, Clementsburgh, PR 17458",Pending
75,286,2023-09-23 00:00:00,6657.6,PayPal,"41193 Perez Lodge, South Andrew, AZ 84816",Delivered
76,98,2023-09-01 00:00:00,5725.44,Credit Card,"6416 Crystal Point Suite 435, Robertborough, IA 01863",Delivered
77,867,2023-11-16 00:00:00,1411.58,Apple Pay,"21732 Elijah Ranch, New Marybury, AZ 04664",Delivered
78,567,2023-03-29 00:00:00,4759.78,Credit Card,"USCGC Prince, FPO AP 96103",Delivered
79,219,2023-04-12 00:00:00,4168.32,Bank Transfer,"2693 Courtney Parkways Apt. 719, North Maurice, TN 22063",Processing
80,866,2023-09-28 00:00:00,4260.76,PayPal,"USNS Bennett, FPO AE 27548",Shipped
81,653,2023-12-13 00:00:00,7331.73,Credit Card,"4426 Cynthia Ports, New David, VA 24658",Shipped
82,544,2023-01-21 00:00:00,2920.87,Google Pay,"74264 Scott Glen, Kristophermouth, AL 08053",Delivered
83,909,2023-01-02 00:00:00,86.28,Apple Pay,"126 Angela Ford, South Coreyside, SD 20400",Delivered
84,185,2023-04-06 00:00:00,3271.34,Google Pay,"136 Elizabeth Isle, Suarezfurt, VI 15527",Shipped
85,986,2023-06-23 00:00:00,4439.7,Debit Card,"505 Brenda Streets Suite 571, Port Juliefurt, AS 99481",Shipped
86,754,2023-04-11 00:00:00,7687.76,Bank Transfer,"784 Wright Prairie, West Hannah, IL 28716",Delivered
