order_id,customer_id,order_date,total_amount,payment_method,shipping_address,status
1,305,2023-01-11 00:00:00,6442.26,Apple Pay,"517 Candace Station Apt. 044, Ashleytown, AK 39786",Cancelled
2,360,2023-03-26 00:00:00,6250.94,PayPal,"54234 Joseph Park, Ramirezmouth, KS 18199",Processing
3,53,2023-10-04 00:00:00,5562.86,Bank Transfer,"318 James Union Apt. 626, New Brian, NH 62742",Pending
4,267,2023-03-03 00:00:00,5011.96,Apple Pay,"775 Taylor Island, South Rachelfort, PW 09954",Delivered
5,405,2023-10-06 00:00:00,155.74,Apple Pay,"8727 Mahoney Heights Suite 945, Andersonburgh, WA 99789",Shipped
6,547,2023-01-21 00:00:00,52.0,Bank Transfer,"98500 Stephanie Crescent Suite 369, Burnschester, NC 26543",Delivered
7,251,2023-04-25 00:00:00,10463.53,Bank Transfer,"5384 Laurie Wall, Nelsonchester, MO 34323",Delivered
8,234,2023-03-10 00:00:00,2795.52,Debit Card,"8512 Estrada Station, Port Jeffreychester, NM 69381",Cancelled
9,210,2023-04-06 00:00:00,2147.57,Apple Pay,"4791 Kathleen Terrace Suite 347, Herreraburgh, AL 09348",Pending
10,28,2023-10-21 00:00:00,4928.12,Apple Pay,"PSC 7666, Box 4441, APO AA 62682",Shipped
11,11,2023-08-16 00:00:00,7186.94,Credit Card,"288 Boyd Neck, West James, MI 58284",Shipped
12,23,2023-07-31 00:00:00,4193.18,Apple Pay,"2506 Michael Roads Suite 470, South Tylerport, FM 42442",Processing
13,153,2023-04-06 00:00:00,5396.26,Credit Card,"925 Torres Square, Lake Natalie, FM 81535",Delivered
14,160,2023-10-10 00:00:00,7592.66,Credit Card,"4730 Thompson Rapids, South Nicoleport, NY 06028",Delivered
15,501,2023-08-15 00:00:00,472.52,Credit Card,"9854 Hernandez Street Apt. 316, Brooksport, FM 16851",Delivered
16,181,2023-04-30 00:00:00,8718.28,Debit Card,"23215 Jesse Drive Apt. 531, Port John, MA 31064",Shipped
17,307,2023-08-04 00:00:00,1998.22,Google Pay,"8959 Hess Place, Jenkinsbury, MI 50199",Delivered
18,133,2023-05-02 00:00:00,3495.13,Bank Transfer,"55812 Lauren Drive, West Michelleville, SC 73305",Delivered
19,209,2023-09-02 00:00:00,1477.93,Google Pay,"1326 Kent Shores, Blackwellport, WY 42348",Shipped
20,402,2023-05-14 00:00:00,3786.4,Google Pay,"6989 Jennifer Summit Suite 176, Smithport, MH 98391",Returned
21,472,2023-04-09 00:00:00,5013.21,Debit Card,"USNS Swanson, FPO AA 30306",Returned
22,136,2023-02-28 00:00:00,968.27,Apple Pay,"PSC 3561, Box 9504, APO AP 46255",Shipped
23,312,2023-03-05 00:00:00,3372.51,Google Pay,"82014 Wesley Burg, East Garrettfort, NV 65462",Returned
24,10,2023-03-01 00:00:00,1068.72,Credit Card,"1974 Williamson Square Suite 701, Lake Dannyton, GU 01784",Shipped
25,136,2023-09-14 00:00:00,1574.14,Bank Transfer,"PSC 3561, Box 9504, APO AP 46255",Delivered
26,66,2023-06-02 00:00:00,5582.46,Credit Card,"98200 Vicki Track Suite 078, South Sharonmouth, DE 35360",Delivered
27,225,2023-08-17 00:00:00,2837.06,Apple Pay,"USS Lloyd, FPO AA 28576",Cancelled
28,430,2023-05-17 00:00:00,7137.22,Google Pay,"USNS Tran, FPO AP 26780",Delivered
29,60,2023-08-27 00:00:00,2174.91,Google Pay,"39835 Stephanie Well Suite 515, East Denise, WA 75832",Pending
30,300,2023-02-08 00:00:00,2974.64,PayPal,"4292 Bailey Trail, New Angela, TX 07753",Pending
31,164,2023-11-08 00:00:00,5781.99,PayPal,"209 Tracy Brook Apt. 443, South Christinehaven, MO 19563",Processing
32,47,2023-12-04 00:00:00,1689.41,PayPal,"4221 Miller Route Suite 078, East Diane, ME 83126",Processing
33,73,2023-02-19 00:00:00,709.12,PayPal,"23090 Beth Glen, Arianaside, KY 09393",Shipped
34,406,2023-12-23 00:00:00,1714.25,Bank Transfer,"79224 Brown Corners, Joshuachester, OH 45772",Processing
35,89,2023-02-11 00:00:00,8646.11,Credit Card,"50715 Shannon Roads Apt. 289, Garciaton, DC 77209",Delivered
